,name,0,1
0,プライム,2.355387387530736,2.4516842753463886
1,セントラルレジデンス,-3.205928324595604,3.1720885253704774
2,クリオレジダンス,-2.2736549447875927,-0.1248506341255299
3,マークス,1.9219064342833434,2.544286371072362
4,ツイン,5.427340721825001,4.539098658852248
5,ガーラグランディ,-2.4683039378534626,1.524702394402202
6,スタイルハウス,-3.1645545700957918,4.178599686098177
7,アピス,4.56060680062336,-6.789127752538551
8,プレスタイル,-3.0756511534649316,4.244440055329651
9,ファーストシーン,-3.4784583592588225,4.833947428992154
10,ルッソ,5.8214600646646675,-3.5574905600607707
11,モアグランデ,-2.478254105561665,-1.647523103203995
12,グランシャトレ,-1.681040578251535,-0.3874982243476532
13,パルテール,-3.0729234149494706,4.114639513546653
14,ハイセレサ,-2.0085910371944573,-1.6126157783012918
15,コンフォート,-0.22678859516890762,1.7238262128661872
16,エルフラット,-2.9944537613608935,4.063289506811358
17,ドルフ,7.431325416663227,-6.103967194102484
18,アーバンビュー,-0.7178451529995363,-2.3838689115577942
19,クィーンシティ,-2.3045753669555635,1.1237830964004605
20,リシェ,4.450948586900572,-6.107857394392678
21,カインドステージ,-2.4776672854160777,0.5483291683473959
22,ヴェルレージュ,-2.2448429152072538,0.900392069741463
23,ビューネ,1.4174333174936615,-5.525336226396279
24,ロイヤルガーデン,-3.230348657295429,3.5192930538043212
25,ポート,3.8743389240192294,4.1812187870869035
26,グランデージ,-1.0000999373266113,-0.6448867644480434
27,キャステール,-0.9550102907090496,-1.555272915039896
28,サンクレスト,-1.5638129408556445,-1.3430770755797923
29,センチュリーマンション,-3.577296507052874,3.7034748157594692
30,オリエンタル,0.20385066745293848,3.8083191501062066
31,ブリリアンス,-2.1174645475707807,-0.27600190820241627
32,コープタウン,-3.668286420751302,4.018266343320343
33,ハイマート,0.6311501381556294,-3.355674286973087
34,ウィンベルソロ,-2.322217951132374,-1.3718913686449468
35,ウイング,2.3728473987994003,2.6637157185819142
36,シティコーポ,-3.548639924440496,2.651066690822132
37,ダイカンプラザシティ,-2.109964378772961,0.5589546121095983
38,ジュネス,2.6252045867345806,-0.5128163542838667
39,オリエント,1.0955053182067116,3.0909639079104974
40,メゾンド,3.132126377654874,-4.72685738340766
41,ロイアルハイツ,-2.296504068976395,-0.2639858459369568
42,ウィスタリアマンション,-2.694572294763587,1.8259322056570444
43,ファミリーマンション,-3.3380928594693913,3.518873240886422
44,ハ,19.97371047949265,19.274469281451683
45,ニ,16.98855374874276,15.856818530667166
46,ザサンメゾン,-2.2489776547646647,2.8870913962280733
47,ルフォンリブレ,-2.4956249937472914,0.5385543836194722
48,ミルーナヒルズ,-2.4183581085632753,0.8394968795658276
49,ゼームス,0.6520223412036859,0.11196078355107664
50,ベイ,24.827817953970865,3.0686249061670434
51,ディアスタ,-1.9000005585460256,0.15358309168784964
52,ヒルトップレジデンス,-2.8232976267037344,3.1526856871377658
53,オーベルグランディオ,-2.1403601965790857,0.7831363357923955
54,ファインレジデンス,-2.554006970556013,0.7153342650241694
55,アーバンパレス,-1.4722784406871945,-2.0013850861725277
56,ガーデンフォレスト,-1.8635748056260437,2.3456671319360702
57,パレソレイユ,-3.263625714080242,4.158542412230582
58,コンファーレ,-2.164803676699925,0.31237063637882545
59,シャルムコート,-2.0816419994299333,-1.021005785446099
60,パークウエスト,-3.466999830379155,3.4303052236248517
61,パークステージ,-3.651435283228075,3.9342700594393727
62,メゾンドヴィレ,-2.81637021284316,2.948044761903713
63,ラフィネ,2.4305821410660444,-2.5906177335334615
64,ビラ,21.86454019362329,1.7515084594741754
65,ドエルプレステージ,-2.520449695925108,1.9211626202582872
66,トーカン,-2.4411532462598005,-1.2404370774097
67,オリンポス,1.2047069705137652,1.495497009109222
68,ユニアス,-1.5333780316942565,0.9985668580230214
69,ト,22.023495898142166,19.30095641988257
70,ヴェルドミール,-1.6316704844782441,-1.150019615237607
71,アーバンハイム,-2.4296146336116395,0.3812172280510749
72,ダイヤモンドパレス,-3.5872859677331146,4.0925575516984125
73,パレロワイヤル,-0.6073126323871276,-0.37028774239696316
74,シーアイハイツ,-2.2425395133054282,1.1624520949826027
75,リレント,-1.4120991576653545,-2.623300740904024
76,ニューウェルハイツ,-2.497692923772303,1.1303230518525709
77,ウィーンハイツ,-3.711439377571341,3.368510330171687
78,コーヅ,-0.6938828057646659,-2.3710273283847902
79,ニューライフマンション,-2.8950299416142995,2.9652453381929167
80,サンコーポ,-1.4241056391479003,-2.872879949475485
81,ソルフィエスタ,-3.5484525169589296,4.347118987622466
82,ベルジェンド,-2.000849264549487,0.6734460444271733
83,ドゥエ,9.289324862870473,0.7706137539119391
84,ディアージュ,-1.770158664411671,-0.5575976312091837
85,イーストレジデンス,-3.1619930175569713,3.4167328577840648
86,クオス,2.1804980196002024,-10.191507470751171
87,ファースト,-0.6518205704446871,4.084597544466876
88,デュオ,4.149479711110789,0.013336647654557443
89,ル,28.136392786733104,13.598340438699935
90,ソレイユ,4.67199856264782,0.38442418080405083
91,セントラルコート,-2.9553487385054575,3.2871950657075617
92,シティオ,3.1108270400233913,-5.03215522615657
93,コニファーコート,-2.826412496199552,0.7775039870012018
94,ライネスハイム,-2.3102702932852304,-0.6867822952067816
95,ボヌール,4.533704473833386,-2.2329379799457962
96,ナビウス,-1.828200553628827,-3.2625866894699795
97,グランステージ,-1.412892170970325,-0.719061102726768
98,エクセレンス,-0.8735553854032418,0.9814434818371578
99,クレストコート,-1.8828548179024949,-0.8214685247831437
100,セブンスターハイツ,-2.9306258693738374,1.291643350643015
